"","V1"
"1",0.00606007091479078
"2",0.00862262234429619
"3",0.0375872188050695
"4",0.118694601733667
"5",0.242764800112221
"6",0.167743789945931
"7",0.181339340174319
"8",0.00830825264302256
"9",0.00139775532518477
"10",0.105464146198193
"11",0.11790554630816
"12",0.0041118554951448
