"","x"
"1",0.000156467957281295
"2",0.000190418551785727
"3",0
"4",0
"5",0.148749363426353
"6",0.109033072307386
"7",0.0997291333003668
"8",0
"9",0.334407451417437
"10",0.0353484733303319
"11",0.26695057236274
"12",0.00543504734631821
